timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908136.060068,3,10.0.0.18010.0.0.15365486,10.0.0.1,80,10.0.0.15,36548,6,-1,-1,9,332000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.060068,3,10.0.0.1505110.0.0.155074117,10.0.0.1,5051,10.0.0.15,50741,17,-1,-1,9,446000000,20,100,0,3,510,0.3333333333333333,6.726457399103139e-09,56.666666666666664,1.1434977578475337e-06,0
1729908136.060068,3,10.0.0.1505010.0.0.7462046,10.0.0.1,5050,10.0.0.7,46204,6,-1,-1,9,254000000,20,100,0,149192,9847276,16576.88888888889,0.0005873700787401574,1094141.7777777778,0.0387688031496063,0
1729908136.060068,3,10.0.0.15505010.0.0.1462041,10.0.0.15,5050,10.0.0.1,46204,1,3,3,9,406000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.060068,3,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,3,3,29,563000000,20,100,0,341311,15648349478,11769.344827586207,0.0006062362344582594,539598257.862069,27.7945816660746,0
1729908136.060068,3,10.0.0.153654210.0.0.1806,10.0.0.15,36542,10.0.0.1,80,6,3,3,9,395000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.060068,3,10.0.0.153654810.0.0.1806,10.0.0.15,36548,10.0.0.1,80,6,3,3,9,348000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908136.060068,3,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,3,3,19,489000000,20,100,0,897,1356264,47.21052631578947,1.834355828220859e-06,71382.31578947368,0.0027735460122699385,0
1729908136.060068,3,10.0.0.155074110.0.0.750511,10.0.0.15,50741,10.0.0.7,5051,1,0,8,29,582000000,20,100,0,28,2744,0.9655172413793104,4.810996563573883e-08,94.62068965517241,4.714776632302405e-06,0
1729908136.060068,3,10.0.0.74620410.0.0.150506,10.0.0.7,46204,10.0.0.1,5050,6,0,8,9,291000000,20,100,0,302877,13858470650,33653.0,0.0010408144329896907,1539830072.2222223,47.623610481099654,0
1729908136.060068,3,10.0.0.74620410.0.0.1550501,10.0.0.7,46204,10.0.0.15,5050,1,0,0,29,577000000,20,100,0,28,2744,0.9655172413793104,4.852686308492201e-08,94.62068965517241,4.755632582322357e-06,0
